hash,llm,benchmarks,classifier,calibrate,balance_classes,features,spearman_rho,mae
7818d7331869,qwen3-8b,gsm-test,neural_network,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7696969696969697,0.2526904617826687
52022e186cdd,qwen3-8b,gsm-test,neural_network,False,False,max se_sum nll_sum,0.9272727272727272,0.2643982534687267
ad86ce04381a,qwen3-8b,gsm-test,neural_network,False,False,se_sum,0.9393939393939393,0.26468268087313035
c8b689d06e29,qwen3-8b,gsmsymbolic-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8424242424242423,0.3141167110199806
76f0c5013fb9,qwen3-8b,gsmsymbolic-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.4545454545454545,0.3360939168805166
e83331ee59fb,qwen3-8b,gsmsymbolic-test,random_forest,True,True,max se_sum nll_sum,0.9151515151515152,0.3167426643984862
0d3b73db6887,qwen3-8b,gsmsymbolic-test,random_forest,True,True,se_sum,0.9151515151515152,0.3207515480643973
f9ceaef03f76,qwen3-8b,gsmsymbolic-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8303030303030302,0.2775806756627492
b77d2d553c14,qwen3-8b,gsmsymbolic-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8303030303030302,0.2899969984419325
6916677ad0e1,qwen3-8b,gsmsymbolic-test,random_forest,True,False,max se_sum nll_sum,0.9151515151515152,0.30185041895404724
f20297391d75,qwen3-8b,gsmsymbolic-test,random_forest,True,False,se_sum,0.9151515151515152,0.30692338866689406
6d644670b9d6,qwen3-8b,gsmsymbolic-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.9393939393939393,0.22532084016484938
a891a77005ba,qwen3-8b,gsmsymbolic-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7818181818181817,0.27119220984731807
4f107adf4f87,qwen3-8b,gsmsymbolic-test,random_forest,False,True,max se_sum nll_sum,0.9151515151515152,0.19947298327765348
44040e886f88,qwen3-8b,gsmsymbolic-test,random_forest,False,True,se_sum,0.9515151515151514,0.19539337729477702
6110466f8c58,qwen3-8b,gsmsymbolic-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8545454545454544,0.26753733254568995
42c29593c6fe,qwen3-8b,gsmsymbolic-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8303030303030302,0.28707902793140844
57c24b614871,qwen3-8b,gsmsymbolic-test,random_forest,False,False,max se_sum nll_sum,0.9151515151515152,0.31148447611880964
8e8e4afc3d73,qwen3-8b,gsmsymbolic-test,random_forest,False,False,se_sum,0.9151515151515152,0.310360738507605
c6a2d3547eb2,qwen3-8b,gsmsymbolic-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7939393939393938,0.2581200402463254
f1c2eab5b9a3,qwen3-8b,gsmsymbolic-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.6969696969696969,0.28249147898350535
b4cbb2f134c0,qwen3-8b,gsmsymbolic-test,logistic_regression,True,True,max se_sum nll_sum,0.8909090909090909,0.271007829153316
d7328c4081dd,qwen3-8b,gsmsymbolic-test,logistic_regression,True,True,se_sum,0.8909090909090909,0.27082046779674773
7f8a4b59132a,qwen3-8b,gsmsymbolic-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7939393939393938,0.259437671553224
c7516c44c36c,qwen3-8b,gsmsymbolic-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.6969696969696969,0.28852783757857564
05a8ae7d2971,qwen3-8b,gsmsymbolic-test,logistic_regression,True,False,max se_sum nll_sum,0.8909090909090909,0.2710751099667655
cd071ee08ea6,qwen3-8b,gsmsymbolic-test,logistic_regression,True,False,se_sum,0.8909090909090909,0.2708204678213367
0f86ca7c2eef,qwen3-8b,gsmsymbolic-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8060606060606059,0.14451169253456214
ff704a02fd05,qwen3-8b,gsmsymbolic-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7575757575757575,0.1826102823989493
fe95feec30a4,qwen3-8b,gsmsymbolic-test,logistic_regression,False,True,max se_sum nll_sum,0.9151515151515152,0.16642404871791278
7d3243d88508,qwen3-8b,gsmsymbolic-test,logistic_regression,False,True,se_sum,0.9151515151515152,0.1666409138816229
63d1d2afee6a,qwen3-8b,gsmsymbolic-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7939393939393938,0.25245452162992915
f7868460f92b,qwen3-8b,gsmsymbolic-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.6969696969696969,0.28454814146113805
d2e5c63047ab,qwen3-8b,gsmsymbolic-test,logistic_regression,False,False,max se_sum nll_sum,0.8909090909090909,0.2704873193722886
313d47db181b,qwen3-8b,gsmsymbolic-test,logistic_regression,False,False,se_sum,0.8909090909090909,0.27019317487947475
ff65d3f0653c,qwen3-8b,gsmsymbolic-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.6242424242424242,0.25057394217251266
f66a661fdf04,qwen3-8b,gsmsymbolic-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8303030303030302,0.1994949962109876
5fa7b3b814dd,qwen3-8b,gsmsymbolic-test,neural_network,True,True,max se_sum nll_sum,0.9515151515151514,0.18820787213839027
c2479d6fc584,qwen3-8b,gsmsymbolic-test,neural_network,True,True,se_sum,0.9151515151515152,0.17776441820715982
e19889c15e0e,qwen3-8b,gsmsymbolic-test,neural_network,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.4545454545454545,0.3441319097827564
32aec9f14393,qwen3-8b,gsmsymbolic-test,neural_network,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8545454545454544,0.2807046633865863
5b45ee4fa37e,qwen3-8b,gsmsymbolic-test,neural_network,True,False,max se_sum nll_sum,0.8909090909090909,0.2949232089085384
10d868f1bb8e,qwen3-8b,gsmsymbolic-test,neural_network,True,False,se_sum,0.9151515151515152,0.3197214577193222
212e2f31a841,qwen3-8b,gsmsymbolic-test,neural_network,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8181818181818182,0.21762151830474208
9de4d54fbdce,qwen3-8b,gsmsymbolic-test,neural_network,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8303030303030302,0.1933693056467562
ae9703e9956e,qwen3-8b,gsmsymbolic-test,neural_network,False,True,max se_sum nll_sum,0.9515151515151514,0.19000013223920156
5440af217c43,qwen3-8b,gsmsymbolic-test,neural_network,False,True,se_sum,0.9151515151515152,0.1794942548039942
404490ec3da7,qwen3-8b,gsmsymbolic-test,neural_network,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.43030303030303024,0.31606140947619743
18c473d24dc5,qwen3-8b,gsmsymbolic-test,neural_network,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8545454545454544,0.24339857316294977
ca2978f6da21,qwen3-8b,gsmsymbolic-test,neural_network,False,False,max se_sum nll_sum,0.9272727272727272,0.2593834262398846
820f9f14499b,qwen3-8b,gsmsymbolic-test,neural_network,False,False,se_sum,0.9515151515151514,0.26475149803439446
56f746bdf1e5,qwen3-8b,svamp-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.3729164151298402
8ca5f5168a09,qwen3-8b,svamp-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7818181818181817,0.3820359135077602
ac3dc1109f20,qwen3-8b,svamp-test,random_forest,True,True,max se_sum nll_sum,0.8909090909090909,0.3652207477919861
dccb5c6bd874,qwen3-8b,svamp-test,random_forest,True,True,se_sum,0.9151515151515152,0.37247629353706135
291360eff29f,qwen3-8b,svamp-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8303030303030302,0.3680703371912105
795ca8e1a64c,qwen3-8b,svamp-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7575757575757575,0.36464285188809775
56b4e447730c,qwen3-8b,svamp-test,random_forest,True,False,max se_sum nll_sum,0.8424242424242423,0.36360127988166185
02fbb36b4a20,qwen3-8b,svamp-test,random_forest,True,False,se_sum,0.8545454545454544,0.3659320534016461
f8f910610564,qwen3-8b,svamp-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.24727765681023425
eea551ca848c,qwen3-8b,svamp-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8666666666666665,0.2548570451643327
46c186c6d232,qwen3-8b,svamp-test,random_forest,False,True,max se_sum nll_sum,0.8909090909090909,0.2271371677504491
83fd9dfe2f92,qwen3-8b,svamp-test,random_forest,False,True,se_sum,0.9151515151515152,0.21990637986067169
f937977fcae6,qwen3-8b,svamp-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.3448945402379634
e03f36a80727,qwen3-8b,svamp-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8060606060606059,0.3592895602415734
445b7297227a,qwen3-8b,svamp-test,random_forest,False,False,max se_sum nll_sum,0.8909090909090909,0.35232360738306945
913161ee11b7,qwen3-8b,svamp-test,random_forest,False,False,se_sum,0.8909090909090909,0.34381444096409114
62c9c0ae07cf,qwen3-8b,svamp-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7696969696969697,0.29705057756011644
23192620da4a,qwen3-8b,svamp-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7575757575757575,0.3193699684490931
6ed6091a93ed,qwen3-8b,svamp-test,logistic_regression,True,True,max se_sum nll_sum,0.8909090909090909,0.3468201224488984
4d82691d8a5f,qwen3-8b,svamp-test,logistic_regression,True,True,se_sum,0.8909090909090909,0.34208345419152536
a9fdc3553868,qwen3-8b,svamp-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8060606060606059,0.2870255874236321
e046bf3b3959,qwen3-8b,svamp-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7575757575757575,0.30269038842955526
f78893f70787,qwen3-8b,svamp-test,logistic_regression,True,False,max se_sum nll_sum,0.8909090909090909,0.34192709612859645
78d6ec29160d,qwen3-8b,svamp-test,logistic_regression,True,False,se_sum,0.8909090909090909,0.342083455478131
ee4c33b4b5a3,qwen3-8b,svamp-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7333333333333332,0.14037836382710578
c10841b279d0,qwen3-8b,svamp-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7212121212121211,0.17577101720131702
7f55077af834,qwen3-8b,svamp-test,logistic_regression,False,True,max se_sum nll_sum,0.8909090909090909,0.16474607561442364
a0cc5f58d52c,qwen3-8b,svamp-test,logistic_regression,False,True,se_sum,0.9515151515151514,0.16336625832660934
c4c5cf5b9e8a,qwen3-8b,svamp-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7333333333333332,0.23465080655537807
27e9edf2b8da,qwen3-8b,svamp-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7212121212121211,0.26346093616917254
c5b2ceb68fda,qwen3-8b,svamp-test,logistic_regression,False,False,max se_sum nll_sum,0.8909090909090909,0.3332460487549786
59b348568172,qwen3-8b,svamp-test,logistic_regression,False,False,se_sum,0.8909090909090909,0.3326935582739977
247163109a8d,qwen3-8b,svamp-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8545454545454544,0.1874728174103178
742a3300abb3,qwen3-8b,svamp-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.6,0.23282747694841874
6db281e492d4,qwen3-8b,svamp-test,neural_network,True,True,max se_sum nll_sum,0.8909090909090909,0.17610085761180594
8009134ac84a,qwen3-8b,svamp-test,neural_network,True,True,se_sum,0.9515151515151514,0.1723896723178943
96bd01bea2a0,qwen3-8b,svamp-test,neural_network,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8545454545454544,0.39351692056032384
60f27ef9bc1e,qwen3-8b,svamp-test,neural_network,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8666666666666665,0.36500981670963906
6c74d0702454,qwen3-8b,svamp-test,neural_network,True,False,max se_sum nll_sum,0.8909090909090909,0.34547669522158353
45453662424e,qwen3-8b,svamp-test,neural_network,True,False,se_sum,0.8909090909090909,0.34347523109957945
ae9926761657,qwen3-8b,svamp-test,neural_network,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.20089045656635257
fb263ee3da1a,qwen3-8b,svamp-test,neural_network,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8666666666666665,0.20343319518281908
2821ad79abdb,qwen3-8b,svamp-test,neural_network,False,True,max se_sum nll_sum,0.8909090909090909,0.2195322413535306
1aa1604ce3bf,qwen3-8b,svamp-test,neural_network,False,True,se_sum,0.9515151515151514,0.23618583870841953
421841fcfd49,qwen3-8b,svamp-test,neural_network,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,-0.8303030303030302,0.332419901022453
dd329b1bbe7b,qwen3-8b,svamp-test,neural_network,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7818181818181817,0.2738339389797019
20b79fb1aa5e,qwen3-8b,svamp-test,neural_network,False,False,max se_sum nll_sum,0.8909090909090909,0.22252038610889407
369d575b8051,qwen3-8b,svamp-test,neural_network,False,False,se_sum,0.9272727272727272,0.24977372182323426
47e38538fb9a,qwen3-8b,mathhendrycks-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8545454545454544,0.2948711248908818
daf08ba5241a,qwen3-8b,mathhendrycks-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.5272727272727272,0.3141846722443932
31d4ddfc9b38,qwen3-8b,mathhendrycks-test,random_forest,True,True,max se_sum nll_sum,-0.9636363636363635,0.3390600062478894
a6cb7cfeb135,qwen3-8b,mathhendrycks-test,random_forest,True,True,se_sum,0.5030303030303029,0.32503187540366724
a81737c64a7b,qwen3-8b,mathhendrycks-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8666666666666665,0.27926082811021036
1491db30bc11,qwen3-8b,mathhendrycks-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7939393939393938,0.2925936291865194
70efd73a789d,qwen3-8b,mathhendrycks-test,random_forest,True,False,max se_sum nll_sum,0.16363636363636364,0.33498192168195373
a6ff1a228efa,qwen3-8b,mathhendrycks-test,random_forest,True,False,se_sum,0.5030303030303029,0.32019834456958246
aa9aef5b9eee,qwen3-8b,mathhendrycks-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7212121212121211,0.2613882594932339
492e81394222,qwen3-8b,mathhendrycks-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.5272727272727272,0.257596319927652
5f5c4f9b3c2e,qwen3-8b,mathhendrycks-test,random_forest,False,True,max se_sum nll_sum,0.6727272727272726,0.2961216841097179
a184f1ef570c,qwen3-8b,mathhendrycks-test,random_forest,False,True,se_sum,0.6,0.2785301622253936
46adc59fa33a,qwen3-8b,mathhendrycks-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8181818181818182,0.2563835173907879
c4706be7da4b,qwen3-8b,mathhendrycks-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7696969696969697,0.27886681053651863
0ed76c0b4e20,qwen3-8b,mathhendrycks-test,random_forest,False,False,max se_sum nll_sum,0.6606060606060605,0.3020601734428593
4ab4463d14e9,qwen3-8b,mathhendrycks-test,random_forest,False,False,se_sum,0.5393939393939393,0.2852182992505911
9e9b2631d484,qwen3-8b,mathhendrycks-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.1914450947706137
87de1804ca09,qwen3-8b,mathhendrycks-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7333333333333332,0.21626809009496045
c5fd1da8d9af,qwen3-8b,mathhendrycks-test,logistic_regression,True,True,max se_sum nll_sum,0.8909090909090909,0.3024025547416693
69707c9688b8,qwen3-8b,mathhendrycks-test,logistic_regression,True,True,se_sum,0.9272727272727272,0.27913132755977776
d6a7a26af42a,qwen3-8b,mathhendrycks-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.1972175589302481
552252905f9f,qwen3-8b,mathhendrycks-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7696969696969697,0.2263640084457111
cf00fdeefac2,qwen3-8b,mathhendrycks-test,logistic_regression,True,False,max se_sum nll_sum,0.8909090909090909,0.2984166802471472
ba901ad89053,qwen3-8b,mathhendrycks-test,logistic_regression,True,False,se_sum,0.9272727272727272,0.2791313273639363
f9bb0c195ca1,qwen3-8b,mathhendrycks-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8666666666666665,0.16370013526935523
27eead5c5c52,qwen3-8b,mathhendrycks-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7575757575757575,0.21860296346809446
901dcfdb4dd3,qwen3-8b,mathhendrycks-test,logistic_regression,False,True,max se_sum nll_sum,0.9272727272727272,0.23196237203648457
3b7c9629a2aa,qwen3-8b,mathhendrycks-test,logistic_regression,False,True,se_sum,0.9272727272727272,0.23196258550548382
95e42892e54c,qwen3-8b,mathhendrycks-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8545454545454544,0.11917123832565939
0f283f3eb85a,qwen3-8b,mathhendrycks-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7212121212121211,0.15429915183993384
8bf81d8025bd,qwen3-8b,mathhendrycks-test,logistic_regression,False,False,max se_sum nll_sum,0.9272727272727272,0.28284264457375696
29649e3ddb22,qwen3-8b,mathhendrycks-test,logistic_regression,False,False,se_sum,0.9272727272727272,0.2828431576830286
92b4225301ae,qwen3-8b,mathhendrycks-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.23636363636363633,0.26797935915218696
b46d712a3daf,qwen3-8b,mathhendrycks-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8787878787878788,0.23141764550931493
2c60fccf92d0,qwen3-8b,mathhendrycks-test,neural_network,True,True,max se_sum nll_sum,0.8909090909090909,0.24495028837224764
